"vendor","originalVendorLabel","title","sourceUrl","selectedImageUrl","originalFile","normalizedFile"
"olhausen","Olhausen rustic ","Railyard","https://www.olhausenbilliards.com/shop?productId=cm87qqs8000oqpgzkmkzj1e4l","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/railyard_pooltable-F7TxxmPxV07AUmLfbi4YeRe93AsH0f.png","originals/railyard.png","normalized-1600x1000/railyard.png"
"olhausen","Olhausen","Regent","https://www.olhausenbilliards.com/shop?productId=cm87qo1ub00gfpgzkjht4cvd8","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/Regent_Pool%20Table_Colardo%20Atlas%20Finish_trans-72UDPT52347AxyBT8S06UGJrFBjxA7.png","originals/regent.png","normalized-1600x1000/regent.png"
"olhausen","Olhausen traditional","Remington","https://www.olhausenbilliards.com/shop?productId=cm87qxw23019wpgzkzomwiofn","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/remington_pooltable-juxzDypulzyoMerPKMliatDjytfOv6.png","originals/remington.png","normalized-1600x1000/remington.png"
"olhausen","Olhausen traditional","Reno","https://www.olhausenbilliards.com/shop?productId=cm87qyb0j01b8pgzkgttmfzq7","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/reno_tm_veneer_pooltable-tUw55hiJeLghQg0MVgz8pNavWpBhZx.png","originals/reno.png","normalized-1600x1000/reno.png"
"olhausen","Olhausen","Riviera","https://www.olhausenbilliards.com/shop?productId=cmcwgvb1u000cjp047kbdxcrv","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/Riviera_angle-kQtUk3gMvfN5nHDHLH8V9T0QpR4LsH.png","originals/riviera.png","normalized-1600x1000/riviera.png"
"olhausen","Olhausen traditional","Santa Ana","https://www.olhausenbilliards.com/shop?productId=cm87qyr4u01cfpgzkf9qxem8j","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/santa%20ana_pooltable-8aovauSkPnWTcVlpfbnLXHxTnswq0b.png","originals/santa-ana.png","normalized-1600x1000/santa-ana.png"
"olhausen","Olhausen select","Seville","https://www.olhausenbilliards.com/shop?productId=cm87qr9j600qapgzk7fuljmep","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/seville_pooltable-FSKpElKuBMS7HZ10jKiyZkSbzOHDSS.png","originals/seville.png","normalized-1600x1000/seville.png"
"olhausen","Olhausen traditional","Sheraton","https://www.olhausenbilliards.com/shop?productId=cm87qz6g301drpgzkhf42ayum","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/Sheraton_Tulipe_MBL-LN1PFnMkvuWzqvOaOOWPYQCjQ9AGHl.png","originals/sheraton.png","normalized-1600x1000/sheraton.png"
"olhausen","Olhausen traditional","Sheraton Laminate","https://www.olhausenbilliards.com/shop?productId=cm87qzhzy01eopgzkcv0f19x4","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/sheraton_laminate_pooltable-9g2aK5WxJrwEAcMQwfW0oh1qNOkxmt.png","originals/sheraton-laminate.png","normalized-1600x1000/sheraton-laminate.png"
"olhausen","Olhausen traditional","Southern","https://www.olhausenbilliards.com/shop?productId=cm87qzleb01evpgzk45r2wlyt","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/southern_new%20apron_pooltable-3Zjd5aa0FyLJUsg36RFyR1QuJjOpCN.png","originals/southern.png","normalized-1600x1000/southern.png"
"olhausen","Olhausen select","St. Andrews","https://www.olhausenbilliards.com/shop?productId=cm87qrj0d00rfpgzktfs8a56o","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/St%20Andrews_pooltable-7WAoxQ4lEDacPAzYii6N2HZynTTJHj.png","originals/st-andrews.png","normalized-1600x1000/st-andrews.png"
"olhausen","Olhausen select","St. George","https://www.olhausenbilliards.com/shop?productId=cm87qrted00slpgzkw6vjqxzu","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/st%20george_pooltable-dRCgAE0FTaTWYwvAtT3zzsDUQh0Y0V.png","originals/st-george.png","normalized-1600x1000/st-george.png"
"olhausen","Olhausen select","St. Leone","https://www.olhausenbilliards.com/shop?productId=cm87qs3r300trpgzk915kthns","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/st%20leone_pooltable-3Rs4T2W2QBnIdowTNf8wFgx1wVxzhP.png","originals/st-leone.png","normalized-1600x1000/st-leone.png"
"olhausen","Olhausen rustic ","Timber Ridge","https://www.olhausenbilliards.com/shop?productId=cm87qqwin00p1pgzkp51tq49z","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/timber%20ridge_pooltable-exTR5PE2q2555yb9MjMM6v8VeidBkh.png","originals/timber-ridge.png","normalized-1600x1000/timber-ridge.png"
"olhausen","Olhausen","Townhouse","https://www.olhausenbilliards.com/shop?productId=cm87qonga00i6pgzkiwg5wxe3","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/0618-Townhouse-e1718729358179-1536x858-iOQMXGO5YHxn3dcBUcMlODNG8V5a0s.png","originals/townhouse.png","normalized-1600x1000/townhouse.png"
"olhausen","Olhausen rustic ","Tustin","https://www.olhausenbilliards.com/shop?productId=cm87qr0bm00papgzkvaysj607","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/Tustin_pooltable-Q6xxwMNVqgw6MFp9AvTdpwjdRUR5z9.png","originals/tustin.png","normalized-1600x1000/tustin.png"
"olhausen","Olhausen select","Venetian","https://www.olhausenbilliards.com/shop?productId=cm87qsdwy00uwpgzkqv796sx0","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/venetian_mbl_pooltable-wp6BGuNGZwnzK7p0o9jcrtyNy2P4ZX.png","originals/venetian.png","normalized-1600x1000/venetian.png"
"olhausen","Olhausen","Waterfall","https://www.olhausenbilliards.com/shop?productId=cm87qos4g00ihpgzk97ra7c9m","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/waterfall_pooltable-fvLSb7tH5SSfBP1yhLhxuO5F1I0RGt.png","originals/waterfall.png","normalized-1600x1000/waterfall.png"
"olhausen","Olhausen","West End","https://www.olhausenbilliards.com/shop?productId=cm87qpdov00k6pgzkqpvqij8z","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/west%20end_pooltable-5uSvkPuRJDxgfWpXCJKLJvf8Nj69kJ.png","originals/west-end.png","normalized-1600x1000/west-end.png"
"olhausen","Olhausen","York","https://www.olhausenbilliards.com/shop?productId=cm87qpt5z00llpgzk2voxtbh7","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/york_pooltable-BBzmd7KLXm1jBfCrbisRgoyt7JGGaf.png","originals/york.png","normalized-1600x1000/york.png"
"olhausen","Olhausen rustic ","Youngstown","https://www.olhausenbilliards.com/shop?productId=cm87qr5wo00pypgzky12cbwyy","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/youngstown_pooltable-oySsYiLrvCB0HNpGQ73W7NCBZu13EZ.png","originals/youngstown.png","normalized-1600x1000/youngstown.png"
